50 -> 5957, 244, 531, 251, 302, 276, 560, 266, 210, 136, 176, 226, 210, 180, 167, 179, 175, 120, 249, 481, 259, 133, 205, 422, 209, 186, 779, 551, 223, 140, 580, 604, 213, 160, 271, 154, 62, 113, 255, 104, 62, 111, 123, 105, 107, 91, 125, 100, 104, 215, 187, 476, 156, 199, 177, 438, 151, 1456, 6848, 
49 -> 6119, 398, 461, 338, 536, 329, 470, 300, 492, 200, 246, 252, 204, 157, 214, 219, 184, 332, 408, 417, 218, 271, 256, 335, 213, 614, 895, 445, 254, 429, 619, 560, 303, 358, 297, 227, 163, 247, 223, 176, 214, 175, 180, 172, 174, 165, 141, 145, 182, 505, 335, 409, 246, 431, 303, 414, 245, 1911, 9382, 
48 -> 3079, 255, 482, 295, 161, 220, 513, 239, 168, 116, 160, 204, 204, 163, 114, 157, 161, 109, 232, 1276, 235, 150, 181, 383, 208, 229, 1901, 877, 190, 182, 662, 929, 142, 163, 235, 206, 64, 158, 184, 133, 51, 108, 103, 98, 86, 111, 99, 85, 101, 135, 146, 459, 163, 119, 170, 496, 170, 1290, 6407, 
47 -> 7398, 148, 177, 143, 470, 125, 147, 143, 494, 81, 68, 85, 62, 79, 78, 85, 89, 343, 54, 95, 44, 337, 44, 88, 55, 405, 156, 75, 333, 364, 100, 105, 351, 77, 98, 89, 314, 80, 86, 103, 356, 75, 71, 88, 112, 107, 101, 76, 79, 563, 116, 259, 108, 535, 115, 242, 137, 1726, 6186, 
46 -> 623, 53, 167, 54, 115, 51, 101, 44, 108, 81, 87, 84, 69, 67, 68, 56, 56, 123, 109, 131, 96, 105, 58, 177, 109, 92, 154, 133, 132, 76, 146, 223, 140, 94, 114, 80, 76, 57, 155, 97, 100, 73, 70, 67, 43, 61, 64, 75, 89, 104, 44, 137, 47, 104, 46, 142, 52, 502, 1941, 
45 -> 2568, 171, 1401, 183, 121, 205, 1511, 208, 167, 494, 290, 240, 300, 506, 280, 334, 303, 156, 598, 483, 335, 146, 602, 553, 394, 141, 407, 310, 71, 164, 436, 370, 83, 477, 245, 179, 110, 474, 259, 232, 91, 197, 233, 426, 220, 283, 258, 401, 277, 226, 299, 793, 226, 268, 266, 812, 189, 2757, 9526, 
44 -> 1885, 115, 506, 147, 140, 109, 580, 134, 129, 248, 284, 181, 148, 237, 245, 198, 172, 197, 277, 489, 256, 95, 267, 1662, 311, 139, 636, 461, 91, 79, 888, 1053, 170, 155, 167, 123, 46, 97, 197, 148, 44, 94, 96, 99, 92, 66, 70, 95, 114, 147, 144, 444, 139, 122, 132, 418, 152, 1143, 4967, 
43 -> 2144, 159, 245, 196, 89, 172, 234, 170, 83, 55, 71, 75, 94, 66, 72, 49, 60, 43, 104, 205, 132, 70, 96, 103, 92, 115, 676, 656, 105, 78, 442, 476, 60, 88, 175, 121, 49, 76, 74, 79, 35, 56, 60, 56, 57, 48, 44, 60, 85, 90, 171, 255, 163, 84, 124, 257, 176, 979, 4899, 
42 -> 6535, 416, 553, 416, 207, 438, 512, 369, 231, 200, 210, 432, 522, 240, 196, 421, 448, 197, 230, 3184, 353, 189, 226, 2601, 330, 128, 778, 1159, 136, 144, 738, 1393, 120, 192, 149, 261, 40, 169, 149, 218, 55, 70, 59, 73, 83, 53, 59, 85, 78, 124, 58, 388, 36, 123, 57, 398, 32, 453, 3625, 
41 -> 6117, 224, 306, 307, 258, 280, 301, 270, 163, 92, 110, 137, 102, 120, 128, 124, 90, 74, 100, 268, 207, 77, 123, 242, 223, 90, 292, 704, 276, 99, 418, 592, 375, 89, 204, 196, 79, 103, 176, 208, 60, 103, 86, 100, 101, 114, 79, 91, 107, 217, 249, 358, 257, 191, 222, 355, 297, 1601, 7759, 
40 -> 10099, 176, 360, 316, 85, 196, 323, 163, 66, 108, 180, 280, 170, 102, 60, 156, 177, 351, 124, 2302, 51, 137, 42, 1581, 50, 63, 846, 463, 70, 86, 412, 369, 43, 152, 75, 107, 14, 73, 43, 109, 7, 23, 17, 38, 26, 12, 14, 42, 48, 46, 32, 334, 29, 41, 37, 341, 26, 331, 2038, 
39 -> 5753, 212, 407, 291, 242, 200, 313, 160, 178, 181, 255, 261, 190, 167, 159, 134, 179, 367, 283, 696, 202, 286, 163, 474, 178, 347, 769, 723, 236, 188, 387, 514, 300, 221, 235, 167, 76, 118, 175, 174, 78, 90, 73, 54, 76, 66, 66, 74, 104, 157, 69, 340, 80, 147, 72, 381, 97, 626, 3574, 
38 -> 6591, 275, 687, 228, 468, 245, 632, 324, 460, 260, 258, 249, 277, 281, 270, 284, 262, 219, 275, 464, 274, 280, 294, 417, 259, 293, 598, 828, 340, 273, 578, 561, 393, 257, 278, 260, 166, 262, 225, 260, 145, 158, 146, 170, 163, 173, 138, 164, 170, 396, 131, 558, 115, 375, 131, 516, 117, 1337, 6712, 
37 -> 7124, 302, 792, 236, 540, 261, 740, 326, 559, 347, 312, 293, 303, 372, 348, 385, 345, 495, 404, 859, 345, 608, 387, 1083, 308, 523, 1568, 731, 645, 492, 1203, 695, 655, 378, 448, 404, 310, 411, 419, 384, 304, 253, 243, 231, 228, 198, 212, 229, 258, 441, 160, 691, 136, 405, 138, 668, 171, 1691, 7038, 
36 -> 9731, 248, 492, 222, 431, 270, 523, 264, 462, 312, 284, 306, 328, 353, 315, 335, 350, 410, 385, 647, 433, 540, 450, 802, 477, 557, 887, 820, 752, 606, 1021, 1060, 619, 394, 289, 399, 250, 393, 393, 421, 175, 188, 182, 197, 183, 200, 182, 171, 142, 372, 96, 502, 125, 382, 119, 448, 112, 1058, 5992, 
35 -> 3025, 167, 707, 171, 581, 143, 683, 132, 615, 396, 385, 484, 438, 347, 367, 457, 545, 908, 617, 1395, 455, 759, 569, 1683, 620, 853, 1163, 912, 611, 766, 1175, 1233, 659, 628, 631, 517, 398, 601, 697, 645, 438, 205, 234, 216, 196, 223, 263, 215, 251, 452, 31, 527, 44, 470, 39, 603, 45, 881, 4451, 
34 -> 1544, 95, 189, 93, 120, 88, 209, 93, 107, 71, 71, 86, 79, 78, 91, 91, 98, 95, 120, 166, 112, 105, 102, 167, 112, 129, 319, 202, 207, 87, 255, 265, 177, 125, 168, 109, 104, 121, 144, 132, 95, 70, 81, 80, 87, 69, 63, 57, 85, 97, 70, 184, 68, 91, 71, 200, 69, 644, 2879, 
33 -> 4768, 219, 431, 176, 274, 169, 481, 251, 382, 252, 231, 264, 265, 282, 270, 315, 292, 476, 334, 606, 396, 600, 365, 729, 352, 524, 599, 829, 520, 509, 770, 893, 537, 274, 323, 286, 258, 266, 351, 279, 234, 144, 147, 147, 171, 137, 163, 158, 132, 242, 80, 429, 96, 271, 88, 394, 96, 947, 4629, 
32 -> 1445, 143, 592, 89, 172, 109, 673, 100, 170, 205, 224, 180, 211, 227, 201, 178, 194, 212, 342, 563, 265, 215, 319, 548, 288, 336, 697, 744, 150, 351, 702, 891, 212, 290, 380, 230, 185, 268, 384, 229, 196, 139, 147, 182, 174, 122, 141, 199, 178, 169, 89, 651, 64, 157, 86, 604, 63, 1035, 4076, 
31 -> 5341, 326, 670, 237, 576, 232, 696, 274, 509, 273, 292, 298, 321, 238, 267, 244, 285, 398, 418, 648, 393, 373, 296, 643, 335, 421, 1117, 818, 434, 313, 672, 847, 418, 332, 429, 302, 166, 279, 302, 294, 168, 227, 198, 190, 172, 154, 171, 176, 202, 441, 129, 587, 112, 389, 148, 601, 135, 1445, 6266, 
30 -> 3664, 130, 536, 275, 461, 165, 518, 145, 464, 259, 243, 331, 260, 229, 234, 225, 255, 459, 356, 950, 300, 472, 290, 789, 338, 460, 790, 820, 497, 370, 554, 1116, 379, 353, 463, 327, 303, 322, 464, 371, 282, 215, 235, 215, 207, 204, 204, 228, 195, 356, 88, 456, 115, 338, 96, 531, 124, 1330, 5273, 
29 -> 2927, 139, 558, 160, 244, 185, 584, 194, 240, 297, 316, 229, 254, 245, 289, 215, 203, 259, 453, 721, 314, 328, 316, 708, 356, 256, 1232, 744, 309, 222, 800, 925, 228, 347, 533, 242, 248, 207, 461, 252, 245, 194, 204, 199, 215, 160, 122, 260, 242, 221, 73, 601, 97, 183, 81, 660, 79, 1142, 4577, 
28 -> 5927, 194, 744, 132, 383, 134, 785, 244, 407, 342, 388, 295, 270, 342, 367, 313, 360, 563, 346, 848, 384, 550, 378, 903, 392, 359, 749, 934, 540, 343, 605, 951, 412, 411, 718, 444, 425, 374, 696, 434, 434, 244, 222, 288, 321, 247, 234, 280, 324, 357, 96, 801, 88, 367, 78, 720, 106, 1988, 6227, 
27 -> 3186, 106, 150, 132, 1134, 148, 159, 116, 925, 42, 67, 124, 128, 86, 59, 73, 80, 372, 111, 373, 130, 366, 59, 146, 45, 1230, 347, 282, 994, 948, 107, 187, 840, 156, 164, 183, 180, 74, 54, 86, 182, 139, 132, 81, 49, 46, 61, 49, 58, 1193, 98, 166, 48, 805, 68, 123, 93, 902, 4083, 
26 -> 1661, 134, 262, 156, 181, 102, 240, 91, 181, 110, 100, 95, 79, 89, 90, 87, 109, 205, 100, 170, 75, 118, 54, 179, 81, 128, 245, 204, 82, 79, 132, 228, 120, 102, 126, 82, 61, 63, 114, 91, 60, 67, 66, 60, 53, 47, 78, 65, 54, 157, 64, 278, 56, 138, 61, 252, 76, 778, 3068, 
25 -> 11067, 284, 735, 286, 341, 206, 643, 216, 355, 221, 238, 237, 215, 193, 170, 235, 257, 337, 256, 847, 216, 171, 197, 800, 251, 287, 1053, 871, 256, 183, 715, 877, 332, 223, 463, 185, 113, 199, 391, 239, 161, 158, 131, 122, 102, 139, 139, 132, 158, 290, 110, 749, 111, 297, 125, 809, 127, 1446, 6425, 
24 -> 6982, 329, 1418, 280, 366, 361, 1311, 298, 349, 289, 357, 383, 338, 365, 352, 304, 343, 357, 632, 1455, 533, 401, 495, 1378, 373, 413, 4191, 1332, 727, 378, 3371, 1644, 592, 538, 859, 429, 271, 443, 808, 342, 229, 264, 258, 280, 251, 231, 228, 261, 269, 302, 208, 1407, 149, 247, 195, 1392, 202, 2122, 9652, 
23 -> 5421, 416, 954, 452, 634, 392, 945, 380, 658, 411, 412, 448, 458, 411, 412, 443, 412, 578, 521, 1401, 553, 571, 490, 1181, 493, 1055, 1175, 2213, 652, 932, 1122, 2351, 671, 492, 916, 563, 409, 557, 1095, 552, 409, 356, 344, 333, 377, 394, 339, 366, 349, 545, 207, 1096, 289, 611, 272, 1027, 274, 2923, 12205, 
22 -> 7940, 158, 68, 168, 1818, 144, 66, 131, 1764, 101, 98, 77, 62, 73, 69, 45, 81, 459, 52, 199, 45, 427, 57, 115, 49, 528, 172, 44, 443, 432, 31, 77, 428, 71, 154, 58, 393, 49, 84, 48, 433, 78, 59, 72, 66, 49, 76, 87, 79, 1842, 155, 89, 151, 1734, 162, 102, 136, 3859, 11311, 
21 -> 1504, 128, 446, 143, 278, 112, 387, 122, 282, 186, 185, 146, 138, 168, 181, 162, 127, 348, 221, 165, 201, 361, 182, 186, 229, 471, 233, 339, 374, 466, 269, 323, 409, 220, 154, 187, 309, 194, 176, 214, 304, 136, 132, 176, 178, 119, 129, 180, 164, 236, 94, 365, 95, 232, 98, 392, 103, 1203, 4778, 
20 -> 1684, 173, 318, 214, 442, 189, 324, 180, 337, 126, 146, 169, 176, 167, 148, 169, 128, 311, 227, 421, 278, 365, 211, 314, 205, 689, 543, 742, 628, 638, 485, 657, 585, 232, 284, 289, 264, 239, 250, 232, 204, 177, 156, 144, 129, 150, 118, 123, 129, 382, 148, 260, 144, 329, 132, 278, 162, 1118, 5397, 
19 -> 3212, 109, 237, 115, 314, 114, 223, 111, 269, 153, 138, 143, 155, 143, 158, 155, 156, 264, 164, 298, 193, 305, 182, 239, 195, 320, 512, 215, 359, 340, 232, 261, 314, 110, 168, 124, 185, 117, 170, 107, 160, 106, 108, 101, 90, 104, 104, 99, 94, 255, 102, 210, 128, 255, 108, 248, 117, 1162, 4474, 
